gh,ga,count,prob,cdf
0,0,96,0.06315789473684211,0.06315789473684211
0,1,112,0.07368421052631578,0.13684210526315788
0,2,89,0.05855263157894737,0.19539473684210523
0,3,46,0.030263157894736843,0.22565789473684209
0,4,16,0.010526315789473684,0.23618421052631577
0,5,8,0.005263157894736842,0.2414473684210526
0,6,1,0.0006578947368421052,0.2421052631578947
0,7,1,0.0006578947368421052,0.24276315789473682
0,9,1,0.0006578947368421052,0.24342105263157893
1,0,149,0.09802631578947368,0.3414473684210526
1,1,169,0.11118421052631579,0.4526315789473684
1,2,104,0.06842105263157895,0.5210526315789473
1,3,46,0.030263157894736843,0.5513157894736842
1,4,22,0.014473684210526316,0.5657894736842105
1,5,7,0.004605263157894736,0.5703947368421053
1,6,3,0.001973684210526316,0.5723684210526316
2,0,112,0.07368421052631578,0.6460526315789474
2,1,123,0.08092105263157895,0.7269736842105263
2,2,67,0.04407894736842105,0.7710526315789474
2,3,33,0.021710526315789475,0.792763157894737
2,4,11,0.007236842105263158,0.8000000000000002
2,5,5,0.003289473684210526,0.8032894736842107
3,0,66,0.04342105263157895,0.8467105263157896
3,1,64,0.042105263157894736,0.8888157894736843
3,2,33,0.021710526315789475,0.9105263157894739
3,3,17,0.01118421052631579,0.9217105263157896
3,4,2,0.0013157894736842105,0.9230263157894738
4,0,34,0.02236842105263158,0.9453947368421054
4,1,24,0.015789473684210527,0.961184210526316
4,2,8,0.005263157894736842,0.9664473684210528
4,3,7,0.004605263157894736,0.9710526315789476
4,4,1,0.0006578947368421052,0.9717105263157897
5,0,14,0.009210526315789473,0.9809210526315791
5,1,5,0.003289473684210526,0.9842105263157896
5,2,7,0.004605263157894736,0.9888157894736844
5,3,2,0.0013157894736842105,0.9901315789473686
6,0,3,0.001973684210526316,0.9921052631578949
6,1,1,0.0006578947368421052,0.992763157894737
6,2,2,0.0013157894736842105,0.9940789473684212
6,3,2,0.0013157894736842105,0.9953947368421053
7,0,3,0.001973684210526316,0.9973684210526317
7,2,1,0.0006578947368421052,0.9980263157894738
8,0,1,0.0006578947368421052,0.9986842105263158
9,0,2,0.0013157894736842105,1.0
