team,mean,std,p50,p90,p95,n_rep
Manchester City,78.336,7.347999530286941,69.0,78.0,87.0,1.0
Liverpool,71.513,7.9496558433700715,61.0,72.0,82.0,1.0
Tottenham,63.543,8.182487647659729,53.0,64.0,74.0,1.0
Arsenal,62.033,7.831810023758766,52.0,62.0,72.0,1.0
Manchester United,61.38,7.917846442833573,51.0,61.0,72.0,1.0
Chelsea,59.206,8.018095400645587,48.0,59.0,70.0,1.0
West Ham,54.069,7.633774525980812,44.0,54.0,64.0,1.0
Brentford,53.811,7.998453241361996,43.0,54.0,64.0,1.0
Aston Villa,52.02,7.766847746925637,42.0,52.0,62.0,1.0
Luton Town,51.228,7.896478352428406,41.0,51.0,61.0,1.0
Newcastle United,50.851,7.875202715982472,40.0,51.0,61.0,1.0
Brighton,50.077,7.942427409372601,40.0,50.0,60.0,1.0
Everton,45.879,7.775655587782926,36.0,46.0,56.0,1.0
Crystal Palace,44.338,8.020853451478223,34.0,45.0,54.0,1.0
Fulham,44.182,7.264134060137086,35.0,44.0,54.0,1.0
Wolverhampton,43.225,7.573488808517029,34.0,43.0,53.0,1.0
Bournemouth,42.614,7.440589114200994,33.0,42.0,53.0,1.0
Nottingham Forest,41.598,7.280343357246234,32.0,42.0,51.0,1.0
Burnley,40.925,7.598362330799325,32.0,41.0,51.0,1.0
Sheffield United,35.044,6.841115761691572,26.0,35.0,44.0,1.0
